,id,terrestrial_date,sol,ls,month,min_temp,pressure
0,2,2012-08-16,10,155,6,-75.0,739.0
1,2,2012-08-16,10,155,6,-75.0,739.0
2,2,2012-08-16,10,155,6,-75.0,739.0
3,2,2012-08-16,10,155,6,-75.0,739.0
4,2,2012-08-16,10,155,6,-75.0,739.0
5,2,2012-08-16,10,155,6,-75.0,739.0
6,2,2012-08-16,10,155,6,-75.0,739.0
7,13,2012-08-17,11,156,6,-76.0,740.0
8,13,2012-08-17,11,156,6,-76.0,740.0
9,13,2012-08-17,11,156,6,-76.0,740.0
10,13,2012-08-17,11,156,6,-76.0,740.0
11,13,2012-08-17,11,156,6,-76.0,740.0
12,13,2012-08-17,11,156,6,-76.0,740.0
13,13,2012-08-17,11,156,6,-76.0,740.0
14,24,2012-08-18,12,156,6,-76.0,741.0
15,24,2012-08-18,12,156,6,-76.0,741.0
16,24,2012-08-18,12,156,6,-76.0,741.0
17,24,2012-08-18,12,156,6,-76.0,741.0
18,24,2012-08-18,12,156,6,-76.0,741.0
19,24,2012-08-18,12,156,6,-76.0,741.0
20,24,2012-08-18,12,156,6,-76.0,741.0
21,35,2012-08-19,13,157,6,-74.0,732.0
22,35,2012-08-19,13,157,6,-74.0,732.0
23,35,2012-08-19,13,157,6,-74.0,732.0
24,35,2012-08-19,13,157,6,-74.0,732.0
25,35,2012-08-19,13,157,6,-74.0,732.0
26,35,2012-08-19,13,157,6,-74.0,732.0
27,35,2012-08-19,13,157,6,-74.0,732.0
28,46,2012-08-20,14,157,6,-74.0,740.0
29,46,2012-08-20,14,157,6,-74.0,740.0
30,46,2012-08-20,14,157,6,-74.0,740.0
31,46,2012-08-20,14,157,6,-74.0,740.0
32,46,2012-08-20,14,157,6,-74.0,740.0
33,46,2012-08-20,14,157,6,-74.0,740.0
34,46,2012-08-20,14,157,6,-74.0,740.0
35,57,2012-08-21,15,158,6,-78.0,740.0
36,57,2012-08-21,15,158,6,-78.0,740.0
37,57,2012-08-21,15,158,6,-78.0,740.0
38,57,2012-08-21,15,158,6,-78.0,740.0
39,57,2012-08-21,15,158,6,-78.0,740.0
40,57,2012-08-21,15,158,6,-78.0,740.0
41,57,2012-08-21,15,158,6,-78.0,740.0
42,68,2012-08-22,16,158,6,-77.0,740.0
43,68,2012-08-22,16,158,6,-77.0,740.0
44,68,2012-08-22,16,158,6,-77.0,740.0
45,68,2012-08-22,16,158,6,-77.0,740.0
46,68,2012-08-22,16,158,6,-77.0,740.0
47,68,2012-08-22,16,158,6,-77.0,740.0
48,68,2012-08-22,16,158,6,-77.0,740.0
49,79,2012-08-23,17,159,6,-76.0,742.0
50,79,2012-08-23,17,159,6,-76.0,742.0
51,79,2012-08-23,17,159,6,-76.0,742.0
52,79,2012-08-23,17,159,6,-76.0,742.0
53,79,2012-08-23,17,159,6,-76.0,742.0
54,79,2012-08-23,17,159,6,-76.0,742.0
55,79,2012-08-23,17,159,6,-76.0,742.0
56,112,2012-08-27,21,161,6,-74.0,741.0
57,112,2012-08-27,21,161,6,-74.0,741.0
58,112,2012-08-27,21,161,6,-74.0,741.0
59,112,2012-08-27,21,161,6,-74.0,741.0
60,112,2012-08-27,21,161,6,-74.0,741.0
61,112,2012-08-27,21,161,6,-74.0,741.0
62,112,2012-08-27,21,161,6,-74.0,741.0
63,114,2012-08-28,22,162,6,-74.0,742.0
64,114,2012-08-28,22,162,6,-74.0,742.0
65,114,2012-08-28,22,162,6,-74.0,742.0
66,114,2012-08-28,22,162,6,-74.0,742.0
67,114,2012-08-28,22,162,6,-74.0,742.0
68,114,2012-08-28,22,162,6,-74.0,742.0
69,114,2012-08-28,22,162,6,-74.0,742.0
70,123,2012-08-29,23,162,6,-75.0,741.0
71,123,2012-08-29,23,162,6,-75.0,741.0
72,123,2012-08-29,23,162,6,-75.0,741.0
73,123,2012-08-29,23,162,6,-75.0,741.0
74,123,2012-08-29,23,162,6,-75.0,741.0
75,123,2012-08-29,23,162,6,-75.0,741.0
76,123,2012-08-29,23,162,6,-75.0,741.0
77,134,2012-08-30,24,163,6,-75.0,742.0
78,134,2012-08-30,24,163,6,-75.0,742.0
79,134,2012-08-30,24,163,6,-75.0,742.0
80,134,2012-08-30,24,163,6,-75.0,742.0
81,134,2012-08-30,24,163,6,-75.0,742.0
82,134,2012-08-30,24,163,6,-75.0,742.0
83,134,2012-08-30,24,163,6,-75.0,742.0
84,145,2012-08-31,25,163,6,-75.0,743.0
85,145,2012-08-31,25,163,6,-75.0,743.0
86,145,2012-08-31,25,163,6,-75.0,743.0
87,145,2012-08-31,25,163,6,-75.0,743.0
88,145,2012-08-31,25,163,6,-75.0,743.0
89,145,2012-08-31,25,163,6,-75.0,743.0
90,145,2012-08-31,25,163,6,-75.0,743.0
91,156,2012-09-01,26,164,6,-76.0,745.0
92,156,2012-09-01,26,164,6,-76.0,745.0
93,156,2012-09-01,26,164,6,-76.0,745.0
94,156,2012-09-01,26,164,6,-76.0,745.0
95,156,2012-09-01,26,164,6,-76.0,745.0
96,156,2012-09-01,26,164,6,-76.0,745.0
97,156,2012-09-01,26,164,6,-76.0,745.0
98,163,2012-09-02,27,164,6,-75.0,743.0
99,163,2012-09-02,27,164,6,-75.0,743.0
100,163,2012-09-02,27,164,6,-75.0,743.0
101,163,2012-09-02,27,164,6,-75.0,743.0
102,163,2012-09-02,27,164,6,-75.0,743.0
103,163,2012-09-02,27,164,6,-75.0,743.0
104,163,2012-09-02,27,164,6,-75.0,743.0
105,170,2012-09-03,28,165,6,-75.0,745.0
106,170,2012-09-03,28,165,6,-75.0,745.0
107,170,2012-09-03,28,165,6,-75.0,745.0
108,170,2012-09-03,28,165,6,-75.0,745.0
109,170,2012-09-03,28,165,6,-75.0,745.0
110,170,2012-09-03,28,165,6,-75.0,745.0
111,170,2012-09-03,28,165,6,-75.0,745.0
112,171,2012-09-04,29,166,6,-75.0,747.0
113,171,2012-09-04,29,166,6,-75.0,747.0
114,171,2012-09-04,29,166,6,-75.0,747.0
115,171,2012-09-04,29,166,6,-75.0,747.0
116,171,2012-09-04,29,166,6,-75.0,747.0
117,171,2012-09-04,29,166,6,-75.0,747.0
118,171,2012-09-04,29,166,6,-75.0,747.0
119,172,2012-09-05,30,166,6,-74.0,747.0
120,172,2012-09-05,30,166,6,-74.0,747.0
121,172,2012-09-05,30,166,6,-74.0,747.0
122,172,2012-09-05,30,166,6,-74.0,747.0
123,172,2012-09-05,30,166,6,-74.0,747.0
124,172,2012-09-05,30,166,6,-74.0,747.0
125,172,2012-09-05,30,166,6,-74.0,747.0
126,173,2012-09-06,31,167,6,-74.0,745.0
127,173,2012-09-06,31,167,6,-74.0,745.0
128,173,2012-09-06,31,167,6,-74.0,745.0
129,173,2012-09-06,31,167,6,-74.0,745.0
130,173,2012-09-06,31,167,6,-74.0,745.0
131,173,2012-09-06,31,167,6,-74.0,745.0
132,173,2012-09-06,31,167,6,-74.0,745.0
133,175,2012-09-08,33,168,6,-73.0,748.0
134,175,2012-09-08,33,168,6,-73.0,748.0
135,175,2012-09-08,33,168,6,-73.0,748.0
136,175,2012-09-08,33,168,6,-73.0,748.0
137,175,2012-09-08,33,168,6,-73.0,748.0
138,175,2012-09-08,33,168,6,-73.0,748.0
139,175,2012-09-08,33,168,6,-73.0,748.0
140,176,2012-09-10,34,168,6,-73.0,748.0
141,176,2012-09-10,34,168,6,-73.0,748.0
142,176,2012-09-10,34,168,6,-73.0,748.0
143,176,2012-09-10,34,168,6,-73.0,748.0
144,176,2012-09-10,34,168,6,-73.0,748.0
145,176,2012-09-10,34,168,6,-73.0,748.0
146,176,2012-09-10,34,168,6,-73.0,748.0
147,177,2012-09-11,35,169,6,-73.0,749.0
148,177,2012-09-11,35,169,6,-73.0,749.0
149,177,2012-09-11,35,169,6,-73.0,749.0
150,177,2012-09-11,35,169,6,-73.0,749.0
151,177,2012-09-11,35,169,6,-73.0,749.0
152,177,2012-09-11,35,169,6,-73.0,749.0
153,177,2012-09-11,35,169,6,-73.0,749.0
154,178,2012-09-12,36,169,6,-73.0,750.0
155,178,2012-09-12,36,169,6,-73.0,750.0
156,178,2012-09-12,36,169,6,-73.0,750.0
157,178,2012-09-12,36,169,6,-73.0,750.0
158,178,2012-09-12,36,169,6,-73.0,750.0
159,178,2012-09-12,36,169,6,-73.0,750.0
160,178,2012-09-12,36,169,6,-73.0,750.0
161,179,2012-09-13,37,170,6,-73.0,750.0
162,179,2012-09-13,37,170,6,-73.0,750.0
163,179,2012-09-13,37,170,6,-73.0,750.0
164,179,2012-09-13,37,170,6,-73.0,750.0
165,179,2012-09-13,37,170,6,-73.0,750.0
166,179,2012-09-13,37,170,6,-73.0,750.0
167,179,2012-09-13,37,170,6,-73.0,750.0
168,180,2012-09-14,38,171,6,-73.0,750.0
169,180,2012-09-14,38,171,6,-73.0,750.0
170,180,2012-09-14,38,171,6,-73.0,750.0
171,180,2012-09-14,38,171,6,-73.0,750.0
172,180,2012-09-14,38,171,6,-73.0,750.0
173,180,2012-09-14,38,171,6,-73.0,750.0
174,180,2012-09-14,38,171,6,-73.0,750.0
175,181,2012-09-15,39,171,6,-75.0,751.0
176,181,2012-09-15,39,171,6,-75.0,751.0
177,181,2012-09-15,39,171,6,-75.0,751.0
178,181,2012-09-15,39,171,6,-75.0,751.0
179,181,2012-09-15,39,171,6,-75.0,751.0
180,181,2012-09-15,39,171,6,-75.0,751.0
181,181,2012-09-15,39,171,6,-75.0,751.0
182,182,2012-09-16,40,172,6,-75.0,753.0
183,182,2012-09-16,40,172,6,-75.0,753.0
